Domain,MX,ERROR,IP
savantsystems.com,d35630a.ess.barracudanetworks.com,,64.235.153.2
digginsrose.com,d35637a.ess.barracudanetworks.com,,64.235.154.109
iquum.com,d35645a.ess.barracudanetworks.com,,64.235.154.140
racepointmedia.com,d36207b.ess.barracudanetworks.com,,64.235.154.140
886ventures.com,d36208a.ess.barracudanetworks.com,,64.235.154.105
savantav.com,d36244a.ess.barracudanetworks.com,,64.235.154.109
litetouch.com,d36556b.ess.barracudanetworks.com,,64.235.154.105
exsifww.com,d39258a.ess.barracudanetworks.com,,64.235.150.252
imanet.org,relay2.xand.com,,216.150.131.212
yourhomestock.com,relay2.xand.com,,216.150.131.212
desantis7.com,relay2.xand.com,,216.150.131.212
wlfd.net,relay2.xand.com,,216.150.131.212
crowntrophy.com,relay2.xand.com,,216.150.131.212
trophydirect.com,d39769b.ess.barracudanetworks.com,,64.235.150.252
mail.telmar.com,relay2.xand.com,,216.150.131.212
telmar.co.uk,d40295b.ess.barracudanetworks.com,,64.235.150.252
peaktime.fr,d40297a.ess.barracudanetworks.com,,64.235.150.252
telmarpeaktime.fr,d40298b.ess.barracudanetworks.com,,64.235.153.10
telmarpeaktime.nl,relay2.xand.com,,216.150.131.212
telmar-hmi.nl,d40308a.ess.barracudanetworks.com,,64.235.153.2
etelmar.co.uk,d40693b.ess.barracudanetworks.com,,64.235.153.10
etelmar.eu,d40694a.ess.barracudanetworks.com,,64.235.150.252
ecdentaldesign.com,d44784b.ess.barracudanetworks.com,,64.235.154.105
cobaltcomputers.com,d45489a.ess.barracudanetworks.com,,64.235.153.2
discoverlehighvalley.com,d45491a.ess.barracudanetworks.com,,64.235.154.105
cmcorporation.com,d47577a.ess.barracudanetworks.com,,64.235.150.252
racepointmanagement.com,d51687b.ess.barracudanetworks.com,,64.235.154.109
fiber-line.com,d55027b.ess.barracudanetworks.com,,64.235.150.252
savant.com,d57172a.ess.barracudanetworks.com,,64.235.154.105
telmar.nl,d58434b.ess.barracudanetworks.com,,64.235.153.2
yanekcustom.com,d67350b.ess.barracudanetworks.com,,64.235.150.252
bandminsurance.com,nog.artefactdesign.com,,65.75.10.226
cornerstoneinsurance.com,nog.artefactdesign.com,,65.75.10.226
costellonh.com,nog.artefactdesign.com,,65.75.10.226
leonardagency.com,nog.artefactdesign.com,,65.75.10.226
njfairplan.org,west.smtp.exch083.serverdata.net,,199.193.205.130
edoceosolutions.com,edoceosolutions.com.s7a1.psmtp.com,,74.125.29.26
elinsurance.com,elinsurance.com.1.0001.arsmtp.com,,204.232.236.140
baldwinweb.com,exch.insuremail.com,,204.155.62.74
welshparker.com,exch.insuremail.com,,204.155.62.74
exsifchina.com,exsifchina.com.s6a1.psmtp.com,,74.125.29.26
exsifworldwide.com,exsifww.com.s6b2.psmtp.com,,108.177.15.27
greenwood-industries.com,filter2.directitcorp.com,,209.59.12.98
handy-1.com,handyharman.com.mail5.psmtp.com,,74.125.29.26
hylinecruises.com,mail.hylinecruises.com,,8.21.84.164
eyeboston.com,mail2.eyeboston.com,,69.147.178.21
aapllc.net,smtp.secureserver.net,,72.167.238.29
capecodexp.com,smtp.secureserver.net,,72.167.238.29
packagingsbest.com,smtp.secureserver.net,,72.167.238.29
teamca.net,smtp.secureserver.net,,72.167.238.29
micro-coax.com,carlisleit-com.mail.protection.outlook.com,,207.46.163.138
monfreight.com,monfreight.com.2.0001.arsmtp.com,,5.152.185.141
karas.net,mx2.zoho.com,,204.141.33.55
thehoffsteins.com,mx01.1and1.com,,74.208.5.21
federalplumbing.com,mx00.1and1.com,,74.208.5.3
yaleappliance.com,Mx2.emailsrvr.com,,173.203.187.2
bellavitashoes.com,mx2-us1.ppe-hosted.com,,67.231.154.163
burkedist.com,mx2-us1.ppe-hosted.com,,67.231.154.163
easystreetshoes.com,mx2-us1.ppe-hosted.com,,67.231.154.163
ns-data.com,mx2-us1.ppe-hosted.com,,67.231.154.163
ontimecompanies.com,mx2-us1.ppe-hosted.com,,67.231.154.163
pack-spec.com,mx2-us1.ppe-hosted.com,,67.231.154.163
junemedia.com,mx1.emailsrvr.com,,108.166.43.1
pjhayes.com,mx1.emailsrvr.com,,108.166.43.1
silvercarrot.com,mx1.emailsrvr.com,,108.166.43.1
deckfastener.com,mx3c40.carrierzone.com,,64.29.151.238
rasansky.com,mx2.zoho.com,,204.141.33.55
vesconite.com,mx10.mailspamprotection.com,,184.154.48.170
cequel3.com,mxb-00279c01.gslb.pphosted.com,,148.163.158.113
dbsintl.net,mxb-00279c01.gslb.pphosted.com,,148.163.158.113
